status,city,state,country,classification,openfda,product_type,event_id,recalling_firm,address_1,address_2,postal_code,voluntary_mandated,initial_firm_notification,distribution_pattern,recall_number,product_description,product_quantity,reason_for_recall,recall_initiation_date,center_classification_date,report_date,code_info,termination_date,more_code_info
Ongoing,Parsippany,NJ,United States,Class III,"{'application_number': ['ANDA072695'], 'brand_name': ['NORTREL'], 'generic_name': ['NORETHINDRONE AND ETHINYL ESTRADIOL'], 'manufacturer_name': ['Teva Pharmaceuticals USA, Inc.'], 'product_ndc': ['0555-9008', '0555-9009', '0555-9010'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'rxcui': ['310463', '312033', '748797', '749858', '749869', '749879', '751868', '751870', '751871'], 'spl_id': ['76509f88-35fd-458f-be86-65c5c1e828bc'], 'spl_set_id': ['140c50d6-c931-423a-9aa0-526eae7ab93c'], 'package_ndc': ['0555-9009-80', '0555-9009-42', '0555-9010-79', '0555-9010-58', '0555-9008-79', '0555-9008-67'], 'is_original_packager': [True], 'nui': ['N0000175825', 'N0000000100', 'M0447349', 'N0000175602'], 'pharm_class_epc': ['Estrogen [EPC]', 'Progestin [EPC]'], 'pharm_class_moa': ['Estrogen Receptor Agonists [MoA]'], 'pharm_class_cs': ['Progesterone Congeners [CS]'], 'unii': ['423D2T571U', 'T18F433X4S']}",Drugs,93867,"Teva Pharmaceuticals USA, Inc",400 Interpace Pkwy Bldg A,N/A,07054-1120,Voluntary: Firm initiated,Letter,nationwide,D-0321-2024,"Nortrel (norethindrone and ethinyl estradiol tablets USP) 0.5/35, packaged in cartons, each carton contains 3 blister cards, each card contains 28 tablets, Rx only, TEVA PHARMACEUTICALS USA, INC., North Wales, PA 19454, NDC 0555-9008-67","12,916 cartons",Discoloration: discolored tablets (shades of blue) mixed in with the white inert remainder tablets.,20240125,20240212,20240221,"Lot #: 100042978, Exp 7/31/2024",,
Terminated,Los Angeles,CA,United States,Class II,{},Drugs,84978,"Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceutical",1990 Westwood Blvd Ste 135,N/A,90025-4650,Voluntary: Firm initiated,Press Release,"U.S.A. Nationwide and Puerto Rico, Barbados and Dominican Republic",D-0960-2020,"Polyoxyl Lauryl Ether (Polidocanol) Injection, LAURETH-9 (POLIDOCANOL) 5% INJECTABLE, For IV Use, 30 mL Multi-dose Vial, Rx only, Axia Pharmaceutical 1990 Westwood Blvd. Ste 135, Los Angeles, CA 90025; NDC 71283-060-3",N/A,Lack of Assurance of Sterility,20200115,20200305,20200311,"Lot #: 10152019+53126, Exp 4/6/2020",20231207,
Terminated,IRVING,TX,United States,Class II,"{'application_number': ['NDA216632'], 'brand_name': ['CABTREO'], 'generic_name': ['CLINDAMYCIN PHOSPHATE/BENZOYL PEROXIDE/ADAPALENE'], 'manufacturer_name': ['Bausch Health US LLC'], 'product_ndc': ['0187-0006'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['TOPICAL'], 'substance_name': ['ADAPALENE', 'BENZOYL PEROXIDE', 'CLINDAMYCIN PHOSPHATE'], 'rxcui': ['2668198', '2668204'], 'spl_id': ['0990acf9-6777-a127-e063-6294a90a3c93'], 'spl_set_id': ['9468da0f-9978-4c58-8135-0274c3415084'], 'package_ndc': ['0187-0006-10', '0187-0006-25', '0187-0006-35'], 'is_original_packager': [True], 'nui': ['N0000175607', 'M0018962'], 'pharm_class_epc': ['Retinoid [EPC]'], 'pharm_class_cs': ['Retinoids [CS]'], 'unii': ['1L4806J2QF', 'W9WZN9A0GM', 'EH6D7113I8']}",Drugs,94023,MCKESSON CORPORATION,6555 NORTH STATE HIGHWA,N/A,75039,Voluntary: Firm initiated,E-Mail,Nationwide in the US,D-0347-2024,"CABTREO (clindamycin phosphate, adapalene and benzoyl peroxide) Topical Gel 1.2%/0.15%/3.1%, Not for Oral, Ophthalmic or Intravaginal Use, Rx Only, Net Wt. 50g, Distributed by Bausch Health US, LLC Bridgewater, NJ 08807 USA, Manufactured by: Bausch Health Companies, Inc. Laval Quebec H7L 448, Canada, NDC 0187-0006-25.",42 units,CGMP Deviations: Product was stored outside labeled storage temperature requirements. Product was exposed to controlled room temperature environment instead of remaining refrigerated.,20240212,20240222,20240228,"Lot: 7001796, Exp 05/31/2025",20241001,
Terminated,Dublin,OH,United States,Class II,"{'application_number': ['NDA205649'], 'brand_name': ['XIGDUO'], 'generic_name': ['DAPAGLIFLOZIN AND METFORMIN HYDROCHLORIDE'], 'manufacturer_name': ['AstraZeneca Pharmaceuticals LP'], 'product_ndc': ['0310-6225', '0310-6270', '0310-6280', '0310-6250', '0310-6260'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['ORAL'], 'substance_name': ['DAPAGLIFLOZIN PROPANEDIOL', 'METFORMIN HYDROCHLORIDE'], 'rxcui': ['1593058', '1593068', '1593070', '1593072', '1593775', '1593831', '1593833', '1593835', '1940496', '1940498'], 'spl_id': ['7a44a2b1-c38b-4dce-ae8e-474aa90d0a1b'], 'spl_set_id': ['ac8a0f7b-9f69-4495-abbc-3a47cd75a859'], 'package_ndc': ['0310-6270-30', '0310-6270-95', '0310-6280-30', '0310-6280-95', '0310-6250-30', '0310-6250-95', '0310-6260-30', '0310-6260-60', '0310-6260-94', '0310-6260-95', '0310-6225-60', '0310-6225-94'], 'is_original_packager': [True], 'unii': ['786Z46389E', '887K2391VH']}",Drugs,87512,Cardinal Health Inc.,7000 Cardinal Pl,N/A,43017-1091,Voluntary: Firm initiated,Letter,"FL, GA, SC",D-0435-2021,"xigduo XR (dapgliflozin/metformin HCl extended-release) tablets 10 mg/1000 mg 30 Tablets Rx only NDC 0310-6280-30 Manufactured for: AstraZeneca Pharmaceuticals LP Wilmington, DE 19850  Manufactured by: Bristol-Myers Squibb Manufacturing Company Humacao, Puerto Rico 00791",664 bottles,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,20210315,20210524,20210602,MP0077,20240617,
Completed,Highland,NY,United States,Class II,{},Drugs,89334,"ULTRAtab Laboratories, Inc.",50 Toc Dr,N/A,12528-1506,Voluntary: Firm initiated,Letter,Bulk product was distributed to 3 distributors who may have distributed finished product.,D-0536-2022,"APAP 500 mg tablet (Acetaminophen 500 mg) Bulk Container, ULTRAtab Laboratories, Inc., Highland, NY NDC 62959-210-00","6,249,082 tablets",CGMP Deviations,20220126,20220209,20220216,"Product Codes: L210L  Bulk Lots: 18L120, 19B044, 19E082",,
Terminated,Dublin,OH,United States,Class III,"{'application_number': ['BLA761061'], 'brand_name': ['TREMFYA'], 'generic_name': ['GUSELKUMAB'], 'manufacturer_name': ['Janssen Biotech, Inc.'], 'product_ndc': ['57894-640', '57894-650', '57894-651'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['SUBCUTANEOUS'], 'substance_name': ['GUSELKUMAB'], 'rxcui': ['1928686', '1928689', '2118739', '2118741', '2693088', '2693092', '2693094', '2693095', '2693096', '2693097'], 'spl_id': ['22ccf009-6795-1f75-e063-6394a90ae70a'], 'spl_set_id': ['1e6dc9ae-1c4c-42d9-87aa-c315ecc51b56'], 'package_ndc': ['57894-640-01', '57894-640-04', '57894-640-11', '57894-640-99', '57894-650-01', '57894-650-02', '57894-651-01', '57894-651-02', '57894-651-11', '57894-651-22', '57894-651-99', '57894-651-92'], 'is_original_packager': [True], 'nui': ['N0000192799', 'N0000192798'], 'pharm_class_epc': ['Interleukin-23 Antagonist [EPC]'], 'pharm_class_moa': ['Interleukin-23 Antagonists [MoA]'], 'unii': ['089658A12D']}",Drugs,87489,Cardinal Health Inc.,7000 Cardinal Pl,,43017-1091,Voluntary: Firm initiated,Letter,"AL, LA, MS, TN",D-0314-2021,"Tremfya (guselkumab) Injection, 100 mg/mL, one single-dose prefilled syringe per carton, Rx only, Manufactured by: Janssen Biotech, Inc., Horsham, PA  19044; NDC 57894-640-01.",48 boxes,Temperature Abuse,20210309,20210329,20210407,KESOY.AI Exp. 04/2022,20211104,
Ongoing,Chesapeake,VA,United States,Class II,{},Drugs,90566,"Family Dollar Stores, Llc.",500 Volvo Pkwy,,23320-1604,Voluntary: Firm initiated,Other,Nationwide within the United States,D-1461-2022,QP COUGH COLD TABLET 16 CT distributed to specific Family Dollar Stores 04/30/2022 through 06/10/2022.,Unknown,CGMP Deviations: product held outside appropriate storage temperature conditions.,20220623,20220822,20220831,SKU: 916922,,
Terminated,Dublin,OH,United States,Class II,"{'application_number': ['NDA207932'], 'brand_name': ['BELBUCA'], 'generic_name': ['BUPRENORPHINE HYDROCHLORIDE'], 'manufacturer_name': ['BioDelivery Sciences International Inc'], 'product_ndc': ['59385-021', '59385-022', '59385-023', '59385-024', '59385-025', '59385-026', '59385-027'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['BUCCAL'], 'substance_name': ['BUPRENORPHINE HYDROCHLORIDE'], 'rxcui': ['1716057', '1716063', '1716065', '1716067', '1716069', '1716071', '1716073', '1716075', '1716077', '1716079', '1716081', '1716083', '1716086', '1716090'], 'spl_id': ['d8541d8a-992a-4b62-8518-ecd85f480e67'], 'spl_set_id': ['bc2b7a3d-72cf-497c-95b0-ba2b71f63c64'], 'package_ndc': ['59385-021-01', '59385-021-60', '59385-022-01', '59385-022-60', '59385-023-01', '59385-023-60', '59385-024-01', '59385-024-60', '59385-025-01', '59385-025-60', '59385-026-01', '59385-026-60', '59385-027-01', '59385-027-60'], 'is_original_packager': [True], 'unii': ['56W8MW3EN1']}",Drugs,87512,Cardinal Health Inc.,7000 Cardinal Pl,N/A,43017-1091,Voluntary: Firm initiated,Letter,"FL, GA, SC",D-0448-2021,"Belbuca (buprenorphine hydrochloride) buccal film 300 mcg 60 pouches containing 1 buccal film each Rx only NDC 59385-023-60 Manufactured for: BioDelivery Sciences International, Inc. Raleigh, NC 27612.",96 cartons,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,20210315,20210524,20210602,37674B,20240617,
Terminated,Windsor,CT,United States,Class II,{},Drugs,92737,SCA Pharmaceuticals,755 Rainbow Rd Ste B,N/A,06095-1024,Voluntary: Firm initiated,Letter,KY and NJ,D-0945-2023,"FentaNYL 500 mcg/250 mL - Bupivacaine HCl 0.1% in 0.9% Sodium Chloride 250mL Bag, Injection for Epidural Use (fentaNYL Concentration - 2 mcg/mL), Rx Only, Single Dose Container, SCA Pharmaceuticals, 755 Rainbow Rd, Windsor, CT 06095, NDC# 70004-0253-40",183 bags,cGMP deviations: due to shipment of rejected units.,20230720,20230726,20230802,"Lot # 1223047134, Use By: 09/21/2023",20230921,
Ongoing,South San Francisco,CA,United States,Class II,"{'application_number': ['BLA103172'], 'brand_name': ['CATHFLO ACTIVASE'], 'generic_name': ['ALTEPLASE'], 'manufacturer_name': ['Genentech, Inc.'], 'product_ndc': ['50242-041'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['INTRAVENOUS'], 'substance_name': ['ALTEPLASE'], 'spl_id': ['e1688656-c69c-4706-8ab5-91b5018678ce'], 'spl_set_id': ['91ecdef2-95ff-42dd-a31c-c8a09cab3ad9'], 'package_ndc': ['50242-041-64', '50242-041-10'], 'is_original_packager': [True], 'unii': ['1RXS4UE564']}",Drugs,94653,"Genentech, Inc.",1 Dna Way Bldg 5,,94080-4918,Voluntary: Firm initiated,Letter,Nationwide within the United States,D-0509-2024,"Cathflo activase (ALTEPLASE), 2mg vials, Rx only, Genentech Inc., South San Francisco, CA 94080, NDC 50242-041-64","Lot:3618858 = 105,759; Lot:3618873 =90,359",Lack of Assurance of Sterility: Deformed stoppers observed during filling operations for Cathflo Activase.,20240520,20240524,20240605,"Lot #: 3618858, 3618873, Exp. Date 01/31/2026",,
Terminated,Chattanooga,TN,United States,Class I,{},Drugs,89138,Aroma Release Technologies Inc,7026 Discovery Dr,,37416-1692,Voluntary: Firm initiated,Letter,Distributed in the states of Texas and New York.,D-0298-2022,"Klean Touch Hand Sanitizer (Ethyl Alcohol 70%) Ingredients Ethanol and Methanol, in 55-gallon drums, Aroma Release Technology, Inc., 7026 Discovery Drive, Chattanooga, TN 37416",37 55-gallon drums,Marketed Without an Approved NDA/ANDA: Product labeled to contain methanol making it an unapproved new drug and contains methanol,20211130,20211228,20220105,"Lots: 1620-1, 1620-3, 1620-4, 1820-4, 1820-5, 1920-1, 1920-2, No Expiration Date",20240315,
Ongoing,Fair Lawn,NJ,United States,Class II,{},Drugs,91427,"Fisher Scientific Co., LLC",1 Reagent Ln,N/A,07410-2802,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Nationwide in the USA,D-0163-2023,"Hand Sanitizer, HSANI500ML, (Isopropyl Alcohol), 75% v/v, packaged in a) 500 mL bottle and b) 6 x 500 mL bottles per case, Thermo Fisher Scientific: Janssen Pharmaceuticalaan 3a, 2440 Geel - Belgium, 1 Reagent Lane, Fair Lawn, NJ 07410.","a) 1077 bottles, b) 52 cases","CGMP Deviations: Voluntary recall of all hand sanitizer distributed after March 31, 2022, due to FDA issued guidance to cease placing hand sanitizer product, produced under temporary approval, into the market after March 31, 2022.",20230117,20230118,20230125,"Lot Numbers: 202160, 202162, 202324, 202368, 202369, 202593, 202594, 202835, 202862, 202863, 202865, 202836, 202864, 203061, 203098, 203099, 203100, 203101, 203102, 203236, 203237, 203239, 203337,  203338, 203335, 203336",,
