Status,City,State,Country,Classification,Product Type,Recalling Firm,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Termination Date
Terminated,Dublin,OH,United States,Class III,Drugs,Cardinal Health Inc.,"Tremfya (guselkumab) Injection, 100 mg/mL, one single-dose prefilled syringe per carton, Rx only, Manufactured by: Janssen Biotech, Inc., Horsham, PA  19044; NDC 57894-640-01.",48 boxes,Temperature Abuse,20210309,20211104
Terminated,Dublin,OH,United States,Class II,Drugs,Cardinal Health Inc.,"Belbuca (buprenorphine hydrochloride) buccal film 300 mcg 60 pouches containing 1 buccal film each Rx only NDC 59385-023-60 Manufactured for: BioDelivery Sciences International, Inc. Raleigh, NC 27612.",96 cartons,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,20210315,20240617
Terminated,Windsor,CT,United States,Class II,Drugs,SCA Pharmaceuticals,"FentaNYL 500 mcg/250 mL - Bupivacaine HCl 0.1% in 0.9% Sodium Chloride 250mL Bag, Injection for Epidural Use (fentaNYL Concentration - 2 mcg/mL), Rx Only, Single Dose Container, SCA Pharmaceuticals, 755 Rainbow Rd, Windsor, CT 06095, NDC# 70004-0253-40",183 bags,cGMP deviations: due to shipment of rejected units.,20230720,20230921
Terminated,Chattanooga,TN,United States,Class I,Drugs,Aroma Release Technologies Inc,"Klean Touch Hand Sanitizer (Ethyl Alcohol 70%) Ingredients Ethanol and Methanol, in 55-gallon drums, Aroma Release Technology, Inc., 7026 Discovery Drive, Chattanooga, TN 37416",37 55-gallon drums,Marketed Without an Approved NDA/ANDA: Product labeled to contain methanol making it an unapproved new drug and contains methanol,20211130,20240315
Terminated,San Antonio,TX,United States,Class II,Drugs,"Vita Pharmacy, LLC dba Talon Compounding Pharmacy","B COMPLEX INJ CMP-NO B12, NO LIDOCAINE  INJECTABLE, Rx only, Talon Compounding Pharmacy, 2950 Thousand Oaks Drive Ste 25, San Antonio, Texas 78247",1 vial,Lack of assurance of sterility,20211012,20231004
Terminated,San Antonio,TX,United States,Class II,Drugs,"Vita Pharmacy, LLC dba Talon Compounding Pharmacy","ALPROSTADIL 40MCG/ML INJ  40MCG/ML INJECTABLE, Rx only, Talon Compounding Pharmacy, 2950 Thousand Oaks Drive Ste 25, San Antonio, Texas 78247",4 vials,Lack of assurance of sterility,20211012,20231004
Terminated,Plattsburgh,NY,United States,Class II,Drugs,"SterRx, LLC","fentaNYL Citrate in 0.9% Sodium Chloride, 2.5 mg per 250 mL, (10 mcg per mL) IV bags, Rx Only, SterRx, 141 Idaho Avenue, Plattsburgh, NY  12903, NDC 70324-327-02.",360 bags,Lack of Assurance of Sterility,20220725,20230622
Terminated,Windsor,CT,United States,Class II,Drugs,"SCA Pharmaceuticals, LLC","PHENYLephrine HCl 5000 mcg/50 mL in 0.9% Sodium Chloride Injection, (Concentration = 100 mcg/mL), 50 mL Syringe, Rx Only, SCA Pharmaceuticals, 755 Rainbow Rd. Windsor, CT 06095, NDC 70004-0810-22, Bar Code 70004081022.","5,948 syringes, expanded 2,102 syringes",Lack of Assurance of Sterility,20231109,20240827
Terminated,Temple Terrace,FL,United States,Class II,Drugs,"BayCare Integrated Service Center, LLC /dba BayCare Central Pharmacy","Succinylcholine Chloride 100 mg/5 mL (20 mg/mL), 5 mL Syringes, Rx only, For IV Use only, BayCare Central Pharmacy, 7802 E. Telecom Parkway, Temple Terrace, FL 33837",253 syringes,Lack of sterility assurance,20210730,20211022
Terminated,Monterey Park,CA,United States,Class II,Drugs,Herbal Doctor Remedies,"Edema Off, Distributed by Herbal Doctor Remedies Alhambra, CA 91801-7081 USA, 1(800) 600-0808",N/A,CGMP Deviations: These products have been found to be misbranded as  unapproved new drugs,20200324,20240125
Terminated,La Vergne,TN,United States,Class II,Drugs,The Harvard Drug Group,"Tramadol Hydrochloride Tablets, USP 50 mg, Unit Dose 100-Count Tablets Rx only, Manufactured by: Sun Pharmaceutical Industries Ltd. Survey No. 259/15, Dadra-396 191, (U.T. of D & NH), India. Distributed by: Sun Pharmaceutical Industries, Inc. Cranbury, NJ 08512, Distributed by: Major Pharmaceuticals Livonia, MI 48152 USA, NDC 0904-7179-61",3876 cartons,Packaging defect: blister packaging inadequately sealed.,20230616,20240430
Terminated,Erie,PA,United States,Class II,Drugs,Pharmacy Innovations,"GLUTATHIONE L REDUCED 100MG/ML (2ML NEBVL) INHALATION; GLUTATHIONE L REDUCED 200MG/ML (1ML NEBVL) INHALATION; GLUTATHIONE L REDUCED 220MG/ML (30ML VIAL) INJECTABLE; GLUTATHIONE L REDUCED 500MG/ML (1ML VIAL) INJECTABLE; GLUTATHIONE L REDUCED 500MG/ML (2ML VIAL) INJECTABLE; GLUTATHIONE L REDUCED-PF- 200MG/ML (2ML VIAL) INJECTABLE, Rx Only, Pharmacy Innovations, 2936 W 17th St., Erie, PA.",N/A,Lack of Assurance of Sterility: FDA inspection revealed insanitary conditions at the facility.,20221222,20240731
Terminated,Westborough,MA,United States,Class II,Drugs,Atlantic Management Resources Ltd.,"ProSirona, A Homeopathic Formula, Calendula Oil packaged in 1/8 Fl. oz. (3.5 g) bottles, Dist. by: Endometriosis Assoc. Inc. (International), Mfg. by Claire Ellen Topicals, P.O. Box 901 Westborough, MA 01581, USA, NDC# 66233-712-01.",72 bottles,cGMP Deviations,20221212,20230920
Terminated,Dublin,OH,United States,Class II,Drugs,Cardinal Health Inc.,"Infants Aqueous Vitamin D Oral Drops 400 IU/mL 50 mL (1 2/3 fl oz) Manufactrued by: Silarx Pharmaceuticals, Inc. 19 West Street Spring Valley, NY 10977 USA",422 bottles,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,20210315,20240617
Terminated,Monterey Park,CA,United States,Class II,Drugs,Herbal Doctor Remedies,"Detoxin-S, 500mg Capsules, 90-count bottles, Distributed by Herbal Doctor Remedies Alhambra, CA 91801-7081 USA, 1(800) 600-0808",N/A,CGMP Deviations: These products have been found to be misbranded as unapproved new drugs,20200324,20240125
Terminated,Albuquerque,NM,United States,Class II,Drugs,"Calvin Scott & Company, Inc.","Phentermine 15mg grey/Yellow Capsules, 28-count bags, Rx only, Distributed by: Calvin Scott & Co., Inc. Albuquerque, NM 87123, MFG: Sunrise Pharm., Rahway NJ, 07065; NDC 11534-0157-03",N/A,CGMP Deviations: Light sensitive drug products repackaged in transparent/partially transparent pouches.,20200727,20240411
Terminated,Los Angeles,CA,United States,Class II,Drugs,"Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceutical","Alprostadil/Papaverine Hydrochloride/Phentolamine Mesylate Injection  20MCG/30MG/1MG/ML Injectable, For Intracavernosal Use, Freeze, 2.5 mL Multi-dose Vial, Rx only, Axia Pharmaceutical 1990 Westwood Blvd. Ste 135, Los Angeles, CA 90025; NDC 71283-0545-2",N/A,Lack of Assurance of Sterility,20200115,20231207
Terminated,Dawsonville,GA,United States,Class II,Drugs,Direct Rx,"Diclofenac Sodium Topical Solution 1.5%, 150 mL, Rx only, Packaged and Distributed by: Direct Rx Dawsonville, GA 30534 Mfg. For SOLA Pharmaceuticals Baton Rouge, LA, NDC 61919-675-05",312 bottles,Defective Container: Leaking containers.,20211207,20231005
Terminated,Allegan,MI,United States,Class II,Drugs,Perrigo Company PLC,"Acetaminophen Child Bubble Gum Flavored Oral Suspension (160 mg/5 ml), 4 FL OZ (118 mL) per bottle, Distributed by Perrigo, Allegan, MI 49010.  NDC: 11673-105-26","4,992 bottles",CGMP Deviations: Products were manufactured with contaminated excipient that was recalled from the excipient supplier.,20211026,20230929
Terminated,Parsippany,NJ,United States,Class III,Drugs,Teva Pharmaceuticals USA Inc,"Azacitidine for Injection 100mg/vial Lyophilized Powder, Rx Only, Mfd. in Romania By: Sindan Pharma SRL For BluePoint Laboratories, NDC 68001-313-56",4162 cartons,Subpotent Drug - Out of specification (OOS) result obtained during monitoring stability study for Assay. Results below specification.,20220722,20230412
Terminated,San Diego,CA,United States,Class II,Drugs,"Vitae Enim Vitae Scientific, Inc.","TETRACAINE 1% Tetracaine HCI Injection, USP, 20mg/2mL (10mg/mL), 10 x 2ml Single Use Vials per box, Rx only, Manufactured for Cameron Pharmaceuticals, LLC., NDC 42494-437-10.",722 boxes,Lack of Assurance of Sterility: deviations from Current Good Manufacturing Practices (CGMP) that call into question the sterility of products intended to be sterile.,20220314,20240815
Terminated,Dublin,OH,United States,Class II,Drugs,Cardinal Health Inc.,NIACIN 250MG 110; NDC/UPC 740985228494; OTC; TABLETS,4 bottles,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,20210315,20240617
Terminated,Farmingdale,NY,United States,Class I,Drugs,Valisa MFG LLC,"kleantouch HAND SANITIZER (ethyl alcohol 70%), 8.0 FL OZ (236 ML), pump bottles, Distributed by: Valisa MFG, LLC, Farmingdale, NY, 11735, Made in USA, UPC 6 86162 99246 1",7704 bottles,Marketed Without an Approved NDA/ANDA: Product labeled to contain methanol making it an unapproved new drug and contains methanol,20211206,20240226
Terminated,Visalia,CA,United States,Class I,Drugs,Je Dois Lavoir LLC,"365 SKINNY High Intensity Capsules, 600 mg,  30-count bottle, BODY BALANCE INTERNACIONAL",783 bottles,"Marketed Without an Approved NDA/ANDA: FDA analysis found the product to be tainted with undeclared sibutramine, a previously approved drug that was withdrawn from the US market due to safety concerns.",20210802,20230502
Terminated,Plattsburgh,NY,United States,Class II,Drugs,"SterRx, LLC","Norepinephrine 4 mg per 250 mL (16 mcg per mL) in 0.9% Sodium Chloride, 250 mL Single Dose bag, packaged in 250 mL x 12 units per case, Rx only, SterRx, 141 Idaho Ave., Plattsburgh, NY  12903, NDC 70324-552-01.","132,299 bags",Lack of Assurance of Sterility,20230707,20240708
Terminated,Albuquerque,NM,United States,Class II,Drugs,"Calvin Scott & Company, Inc.","Hydrochlorothiazide 25mg tablets, Distributed by: Calvin Scott & Co., Inc. Albuquerque, NM 87123, Mfg: Accord Healthcare, Inc, Durham, NC 27703, NDC 16729-0183-17",N/A,CGMP Deviations: Light sensitive drug products repackaged in transparent/partially transparent pouches.,20200727,20240411
Terminated,Richmond,VA,United States,Class II,Drugs,Mckesson Medical-Surgical Inc. Corporate Office,"Thrombin JMI, Vial 5,000IU 2/diluent, kit, Rx only, MFG: Pfizer   NDC 60793-215-05",157 kits,cGMP deviations: Temperature abuse,20220413,20231130
Terminated,Monterey Park,CA,United States,Class II,Drugs,Herbal Doctor Remedies,"Herpes-G, 500mg Capsules, 90-count bottles, Distributed by Herbal Doctor Remedies Alhambra, CA 91801-7081 USA, 1(800) 600-0808",N/A,CGMP Deviations: These products have been found to be misbranded as unapproved new drugs,20200324,20240125
Terminated,Erie,PA,United States,Class II,Drugs,Pharmacy Innovations,"METHION/INOSIT/CHOLINE/CYANOCOBAL 25MG/50MG/50MG/1MG/ML (1ML VIAL) INJECTABLE; METHION/INOSIT/CHOLINE/METHYLCOBAL 15MG/50MG/100MG/1MG/ML (1ML VIAL) INJECTABLE; METHION/INOSIT/CHOLINE/RIBOFLA/NIACINAMIDE/PYRIDOX/ASCORBIC ACID 15.625MG/31.25MG/31.25MG/6.25MG/62.5MG/6.25MG/62.5MG/ML (1ML VIAL) INJECTABLE, Rx Only, Pharmacy Innovations, 2936 W 17th St., Erie, PA.",N/A,Lack of Assurance of Sterility: FDA inspection revealed insanitary conditions at the facility.,20221222,20240731
Terminated,Miami Lakes,FL,United States,Class II,Drugs,"Complete Pharmacy and Medical Solutions, LLC.","HUMAN CHORIONIC GONADOTROPIN 1,250 IU per vial Aso contains Mannitol 9%, Sodium Phosphate 2% in water for injection. Lyophilized, Unpreserved. Complete Pharmacy & Medical Solutions 5829 NW 158th St, Miami Lakes, FL 33014 Tel: 305-397-2035",2400 vials,CGMP deviations: Lack of potency testing.,20201120,20220928
Terminated,Dublin,OH,United States,Class II,Drugs,Cardinal Health Inc.,NURTEC ODT (RIMEGEPANT) 75MG 8 BPK; NDC/UPC 72618-3000-2; RX; TABLETS FOR RAPID DISSOLUTION (NOT SUBLINGUAL),1240 CARTON,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,20210315,20240617
Terminated,Morgantown,WV,United States,Class III,Drugs,Viatris,"Candesartan Cilexetil Tablets, USP 16 mg, 30 count bottles, Manufactured for: Mylan Pharmaceuticals Inc., Morgantown, WV 26505 NDC 0378-3231-93","21,094",Failed Impurities/Degradation Specifications; out of specification for Related Compound,20210913,20220428
Terminated,Dublin,OH,United States,Class II,Drugs,Cardinal Health Inc.,EZETIMIBE AND SIMVASTATIN TABLETS 10-10MG 30; NDC/UPC 68462-321-30; RX; TABLETS,7 CARTON,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,20210315,20240617
Terminated,Dublin,OH,United States,Class II,Drugs,Cardinal Health Inc.,"Iron 100 with Vitamin C Tablets Dietary Supplement 100 Tablets NDC 60258-099-01 Distributed By: Cypress Pharmaceutical, Inc. 135 Industrial Blvd. Madison, MS 39110",1 bottle,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,20210315,20240617
Terminated,Sarasota,FL,United States,Class I,Drugs,"Sanit Technologies, LLC dba Durisan","Durisan Antimicrobial Solutions (benzalkonium chloride) Hand Sanitizing Wipes, 0.13%, 160-count canister; Sanit Technologies, LLC, 7810 25th Court East, Sarasota, Florida 34243, UPC 8 52379 00631 8.","42,905 canisters TOTAL",Microbial Contamination of Non-Sterile Products: firm's internal testing found certain lots of the product to be contaminated with Burkholderia contaminans and/or yeast and mold.,20210310,20220119
Terminated,North Little Rock,AR,United States,Class I,Drugs,"Maison Terre, LLC","Goldenseal Root Powder Organic, 1 oz. clear plastic bag, Maison Terre Natural Products, www.maisonterre.net",670 bags,"Microbial Contamination of Non-Sterile Products: FDA laboratory analysis found product to be contaminated with various microorganisms including Enterobacter cloacae, Cronobacter sakazakii, Cronobacter dublinensis, among others.",20200817,20210127
Terminated,Parsippany,NJ,United States,Class II,Drugs,"Ascend Laboratories, LLC","Metoprolol Succinate Extended-Release Tablets, USP 25 mg, Rx Only, 100 Tablets per bottle,  Manufactured by: Alkem Laboratories Ltd., Mumbai - 400 013, India, Distributed by: Ascend Laboratories, LLC, Parsippany NJ 07054, NDC 67877-590-01.","49,632 bottles",Failed Dissolution Specification,20230105,20240815
Terminated,ISELIN,NJ,United States,Class II,Drugs,BIOCON PHARMA INC,"Posaconazole Delayed-Release Tablets, 100 mg, 60-count bottle, Rx Only, Manufactured for: Biocon Pharma Inc., Iselin, NJ  08830-3009; Manufactured by: Biocon Pharma Limited, Bengaluru, India - 560 099, NDC 70377-038-11.",3665 bottles,Failed Impurities/Degradation Specifications: High Out Of Specification degradation results.,20230131,20240621
Terminated,Windsor,CT,United States,Class II,Drugs,SCA Pharmaceuticals,"HYDROmorphone HCl 10mg/50mL in 0.9% Sodium Chloride Injection, CII, Rx Only, 50 mL Single Dose Syringe, SCA Pharmaceuticals, 755 Rainbow Rd., Windsor, CT, 06095, barcode 70004030022",428 syringes,"Lack of Assurance of Sterility; potential for a defective syringe cap, resulting in a non-integral unit",20201217,20211102
Terminated,Princeton,NJ,United States,Class III,Drugs,"MACLEODS PHARMA USA, INC","Rizatriptan Benzoate Film Coated Tablets, 10 mg, packaged in a) 12 Tablets (2X6 Unit-Dose Tablets) Blister Packs, NDC 33342-088-45), b) 18 Tablets (3 x 6 Unit-Dose Tablets, NDC 33342-088-41) Rx only, Manufactured for: Macleods Pharma USA, Inc. Plainsboro, NJ 08536l Manufactured by: Macleods Pharmaceuticals Ltd. Baddi, Himachal Pradesh, INDIA","135,082 Blister Packs/2,431,476 tablets",Out-of-specification test results obtained in Organic Impurities test during analysis of controlled samples.,20211018,20240424
Terminated,Parsippany,NJ,United States,Class II,Drugs,Teva Pharmaceuticals USA,"Epoprostenol Sodium for Injection, 1.5 mg/vial, 10 mL vials, Rx only, Teva Pharmaceuticals USA, Inc. North Wales, PA 19454, NDC 0703-1995-01","12,698 vials",Lack of Assurance of Sterility,20210729,20240604
Terminated,San Antonio,TX,United States,Class II,Drugs,"Vita Pharmacy, LLC dba Talon Compounding Pharmacy","TRI-TEST 200 (CY50%-EN37.5%-PR12.5%) INJ #1 200MG/ML INJECTABLE, Rx only, Talon Compounding Pharmacy, 2950 Thousand Oaks Drive Ste 25, San Antonio, Texas 78247",4 vials,Lack of assurance of sterility,20211012,20231004
Terminated,Albany,OR,United States,Class III,Drugs,Dental Alliance Holdings LLC,"CTx7 Kit, contains one tube CariFree CTx4 Gel 5000, 1.1% Neutral Sodium Fluoride Mint, 2 oz (57 g) Rx only NDC: 61578-205-01 Manufactured by Oral BioTech Albany, Oregon 97321 and one bottle of CariFree CTx3 Rinse, Mint Anticavity Rinse, 16 fl oz. bottle.",3 single tubes of lot 192107 and 3 single tubes of 192108,Subpotent Drug: Product contains less Sodium Fluoride than listed on product label.,20211203,20220811
Terminated,Richmond,VA,United States,Class II,Drugs,Mckesson Medical-Surgical Inc. Corporate Office,"Cefazolin for injection USP, and Dextrose Injection, USP, 2 g, 50 mL duplex container, Rx only, MFG: B. Braun Medical Inc., NDC 0264-3105-11",39 cases,cGMP deviations: Temperature abuse,20220413,20231130
Terminated,Venice,FL,United States,Class I,Drugs,Scentsational Soaps & Candles Inc,"Goose Creek Hand Sanitizer aloe Watermelon Lemonade, Anti-Bacterial Spray, 3.38 FL. OZ. (100 mL), Goose Creek www.GooseCreekCandle.com, 1498 S. Wallace Wilkinson Blvd., Liberty, KY 42539, UPC 814630 02423 3","1,296 bottles","Chemical contamination: product found to be contaminated with methanol (wood alcohol), benzene and acetaldehyde.",20210427,20221202
Terminated,Dublin,OH,United States,Class II,Drugs,CARDINAL HEALTHCARE,"RIVASTIGMINE TRANSDERMAL SYSTEM, Delivers 4.6 mg/24 hours, 30 systems per box, Rx Only, Distributed by: Alvogen, Inc., Morristown, NJ 07960.  NDC 47781-304-03",1 unit,CGMP Deviations: Products were exposed to temperatures outside of the products labeled storage conditions.,20220126,20240929
Terminated,Parsippany,NJ,United States,Class III,Drugs,Teva Pharmaceuticals USA Inc,"Montelukast Sodium Oral Granules USP, 4 mg, packaged in a carton containing 30 packets, Rx only, Distributed By: Teva Pharmaceuticals USA, Inc., Parsippany, NJ 07054, Carton NDC 0093-7487-56, Packet NDC 0093-7487-19","3,772 cartons",Failed Impurities/Degradation Specifications: failed impurities for Sulphoxide and Impurity A.,20230327,20230823
Terminated,Port Charlotte,FL,United States,Class II,Drugs,The Medicine Shoppe Pharmacy,"Bi-Est (1:1)/Progesterone/Testosterone 2.5/150/1.5 mg/mL Versabase CR 90 mL bottle, Rx, The Medicine Shoppe Pharmacy, Port Charlotte, FL",1 bottle,Lack of Processing Control,20200406,20221213
Terminated,Allegan,MI,United States,Class II,Drugs,Perrigo Company PLC,"GoodSense Aller.Ease, Fexofenadine hydrochloride 12 HR, 60 mg tablets, 24 count bottle, UPC 3 0113 0425 62 7;  Made in the Czech Republic, Distributed by: Perrigo Allergan MI 49010.","36,048 containers",Failed Impurities/Degradation Specifications; Out of specification result obtained for impurity A during stability testing.,20210727,20221108
Terminated,Windsor,CT,United States,Class II,Drugs,SCA Pharmaceuticals,"ePHEDrine Sulfate 50 mg/10mL in 0.9% Sodium Chloride Injection, 10 mL Single Dose Syringe, Rx Only, SCA Pharmaceuticals, 755 Rainbow Rd., Windsor, CT, 06095 barcode 70004060412","7,257 syringes","Lack of Assurance of Sterility; potential for a defective syringe cap, resulting in a non-integral unit",20201217,20211102
Terminated,Columbus,OH,United States,Class II,Drugs,West-Ward Columbus Inc,"Doxycycline Hyclate Tablets USP, 100 mg, packaged in a) 50-count bottle (NDC 0143-2112-50), b) 500-count bottle (NDC 0143-2112-05), Rx only, Mfd. by: West-Ward Pharmaceuticals Corp., Eatontown, NJ 07724.","68,376 bottles",Failed dissolution specification: The dissolution test at the 24 month time point (end of shelf life) yielded an out of specification result.,20200513,20230325
Terminated,Englewood,CO,United States,Class III,Drugs,"Denver Solutions, LLC DBA Leiters Health","VANCOmycin HCI PF, 1.25 g added to 0.9% Sodium Chloride 250 mL IV Bag, Rx only, Leiters Compounding Health, 13796 Compark Blvd, Englewood, CO 80112, NDC 71449-028-68.","33,480 IV Bags",Labeling: Not Elsewhere Classified,20231004,20240815
Terminated,San Antonio,TX,United States,Class II,Drugs,"Vita Pharmacy, LLC dba Talon Compounding Pharmacy","TEST CYPIONATE 200MG/ANASTROZOLE 1MG/DUTASTERIDE 0.5MG/ML IN OIL  INJECTABLE, Rx only, Talon Compounding Pharmacy, 2950 Thousand Oaks Drive Ste 25, San Antonio, Texas 78247",13 vials,Lack of assurance of sterility,20211012,20231004
Terminated,Mesa,AZ,United States,Class II,Drugs,"First Royal Care Co. LLC, dba Red Mountain Compounding Pharmacy","PYRIDOXINE HCL (B6) 100MG/ML MDV, Red Mountain Compounding Rx",N/A,Lack of Assurance of Sterility: FDA inspection raised sterility assurance concerns,20210813,20230412
Terminated,San Antonio,TX,United States,Class II,Drugs,"Vita Pharmacy, LLC dba Talon Compounding Pharmacy","ULTRA-TEST (CYP 80%/PROP 20%) 200MG/ML INJ #1 200MG/ML INJECTABLE, Rx only, Talon Compounding Pharmacy, 2950 Thousand Oaks Drive Ste 25, San Antonio, Texas 78247",23 vials,Lack of assurance of sterility,20211012,20231004
Terminated,Lenoir,NC,United States,Class II,Drugs,Exela Pharma Sciences LLC,"8.4% Sodium Bicarbonate Injection, USP 50 mEq/50 mL (1 mEq/mL), 50 mL vials, Rx Only, Manufactured and Distributed by: Exela Pharma Sciences, LLC., Lenoir, NC 28645, NDC 51754-5001-1","18,960 vials",Lack of Assurance of Sterility,20220111,20221202
Terminated,Hauppauge,NY,United States,Class III,Drugs,Sciegen Pharmaceuticals Inc,"Gabapentin Tablets, USP 600 mg, 500 tablets per bottle, RX Only, Manufactured by ScieGen Pharmaceuticals Inc., Hauppauge, NY 11788, NDC: 50228-177-05.","4,392 bottles",Presence of Foreign Tablets/Capsules: Pharmacist reported presence of some Gabapentin tablets 800 mg comingled in Gabapentin 600 mg 500 count bottles.,20230217,20240617
Terminated,Minneapolis,MN,United States,Class II,Drugs,IntegraDose Compounding Services LLC,"ceFAZolin, 2 G/20 mL in Sterile Water, 20 mL Sterile Syringe for Injection, IntegraDose Compounding Services, LLC, 719 Kasota Ave SE, Minneapolis, MN. NDC 71139-7087-1","2,614 syringes",Lack of sterility assurance.,20210917,20221002
Terminated,Sterling,VA,United States,Class II,Drugs,Northern VA Compounders PLLC,"QuadMix Plus (PGE1/Papaverine HCl/Phentolamine Mesylate/Atropine) 20mcg/30mg/2mg/0.2mg/mL INJECTABLE, packaged in 2.5 mL Multiple-Dose vials, Rx Only, Compounded by: Akina Pharmacy, 23475 Rock Haven Way Suite 105, Sterling, VA  20166.",78 vials,Lack of Assurance of Sterility,20221230,20230621
Terminated,Parsippany,NJ,United States,Class III,Drugs,Teva Pharmaceuticals USA Inc,"Fentanyl Buccal Tablets CII, 600mcg, packaged in cartons of 28 Buccal Tablets (4 tablets x 7 cards), Rx only, Distributed by: Mayne Pharma, Greenville, NC 27834, NDC 51862-637-28",1908,Labeling: Incorrect or Missing Package Insert,20230427,20240229
Terminated,Conway,AR,United States,Class III,Drugs,US Compounding Inc,"Neostigmine Methylsulfate PF Inj. 5 mg/5 mL, 5 mL Single Use Syringes, Hospital/Office Use Only. US Compounding 1270 Don's Lane Conway, AR 72032 (800) 718-3588  NDC 62295-3324-05",1640 syringes,Labelling: Missing label.,20201125,20211105
